Finished,gender,age,ethnicity,ethnicity_6_TEXT,sexual_orientation
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
FALSE,,,,,
TRUE,Male,30,Other,Mixed,Heterosexual or Straight
TRUE,Male,29,White,,Heterosexual or Straight
TRUE,Male,27,White,,Heterosexual or Straight
TRUE,Male,26,White,,Bisexual
TRUE,Female,43,White,,Heterosexual or Straight
